"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name"
404,"50","turk10-Rotated-Outer-Multiple-rep1","50-5",NA,"5","images/filebab615eb5995-multiple.svg","turk10",34,"data-2-1-7-50-5-7-5.csv"
405,"50","turk10-Control-Inner-Single-rep1","50-5",NA,"7","images/filebab62ec20290-single.svg","turk10",34,"data-2-1-7-50-5-7-5.csv"
406,"50","turk10-Control-Inner-Multiple-rep1","50-5",NA,"7","images/filebab62ec20290-multiple.svg","turk10",34,"data-2-1-7-50-5-7-5.csv"
407,"50","turk10-Control-Outer-Multiple-rep1","50-5",NA,"5","images/filebab6433653eb-multiple.svg","turk10",34,"data-2-1-7-50-5-7-5.csv"
408,"50","turk10-Control-Outer-Single-rep1","50-5",NA,"5","images/filebab6433653eb-single.svg","turk10",34,"data-2-1-7-50-5-7-5.csv"
409,"75","turk10-Standard-Inner-Multiple-rep1","75-5",NA,"14","images/filebab649353792-multiple.svg","turk10",35,"data-2-1-8-75-5-14-18.csv"
410,"75","turk10-Standard-Inner-Single-rep1","75-5",NA,"14","images/filebab649353792-single.svg","turk10",35,"data-2-1-8-75-5-14-18.csv"
411,"75","turk10-Standard-Outer-Multiple-rep1","75-5",NA,"18","images/filebab644d377ca-multiple.svg","turk10",35,"data-2-1-8-75-5-14-18.csv"
412,"75","turk10-Standard-Outer-Single-rep1","75-5",NA,"18","images/filebab644d377ca-single.svg","turk10",35,"data-2-1-8-75-5-14-18.csv"
413,"75","turk10-Rotated-Inner-Multiple-rep1","75-5",NA,"14","images/filebab623bf8bc6-multiple.svg","turk10",35,"data-2-1-8-75-5-14-18.csv"
414,"75","turk10-Rotated-Inner-Single-rep1","75-5",NA,"14","images/filebab623bf8bc6-single.svg","turk10",35,"data-2-1-8-75-5-14-18.csv"
415,"75","turk10-Rotated-Outer-Single-rep1","75-5",NA,"18","images/filebab67471867f-single.svg","turk10",35,"data-2-1-8-75-5-14-18.csv"
416,"75","turk10-Rotated-Outer-Multiple-rep1","75-5",NA,"18","images/filebab67471867f-multiple.svg","turk10",35,"data-2-1-8-75-5-14-18.csv"
417,"75","turk10-Control-Inner-Single-rep1","75-5",NA,"14","images/filebab6175d9213-single.svg","turk10",35,"data-2-1-8-75-5-14-18.csv"
418,"75","turk10-Control-Inner-Multiple-rep1","75-5",NA,"14","images/filebab6175d9213-multiple.svg","turk10",35,"data-2-1-8-75-5-14-18.csv"
419,"75","turk10-Control-Outer-Multiple-rep1","75-5",NA,"18","images/filebab6212961-multiple.svg","turk10",35,"data-2-1-8-75-5-14-18.csv"
420,"75","turk10-Control-Outer-Single-rep1","75-5",NA,"18","images/filebab6212961-single.svg","turk10",35,"data-2-1-8-75-5-14-18.csv"
421,"20","turk10-Standard-Inner-Multiple-rep1","20-10",NA,"9","images/filebab658594dd7-multiple.svg","turk10",36,"data-2-1-9-20-10-9-10.csv"
